emb_units,lstm_units,dropout,l_rate,replication,sparse_categorical_accuracy
128.0,100.0,0.6,0.001,2.0,0.3818908929824829
128.0,500.0,0.6,0.001,2.0,0.31705227494239807
96.0,600.0,0.6,0.001,3.0,0.29248785972595215
32.0,200.0,0.6,0.001,3.0,0.3764638602733612
96.0,400.0,0.6,0.001,2.0,0.3313339054584503
64.0,300.0,0.8,0.001,1.0,0.38531848788261414
64.0,600.0,0.6,0.001,2.0,0.3221936523914337
128.0,600.0,0.6,0.001,3.0,0.32733505964279175
128.0,100.0,0.6,0.001,1.0,0.3901742398738861
96.0,400.0,0.8,0.001,1.0,0.3764638602733612
128.0,200.0,0.8,0.001,1.0,0.4093116223812103
128.0,500.0,0.8,0.001,2.0,0.37960582971572876
32.0,100.0,0.6,0.001,2.0,0.3996001183986664
64.0,400.0,0.8,0.001,1.0,0.39331620931625366
128.0,400.0,0.6,0.001,2.0,0.32362180948257446
32.0,500.0,0.8,0.001,1.0,0.37132248282432556
64.0,400.0,0.8,0.001,2.0,0.3847472071647644
32.0,400.0,0.8,0.001,3.0,0.38160526752471924
32.0,300.0,0.6,0.001,1.0,0.3479005992412567
64.0,100.0,0.8,0.001,3.0,0.38503286242485046
32.0,200.0,0.6,0.001,2.0,0.37703514099121094
32.0,100.0,0.8,0.001,1.0,0.38503286242485046
128.0,100.0,0.8,0.001,3.0,0.3947443664073944
32.0,100.0,0.6,0.001,1.0,0.3930305540561676
96.0,400.0,0.8,0.001,3.0,0.3793202042579651
32.0,100.0,0.6,0.001,3.0,0.3821765184402466
96.0,200.0,0.8,0.001,2.0,0.39245930314064026
32.0,200.0,0.8,0.001,3.0,0.3921736776828766
96.0,600.0,0.8,0.001,2.0,0.36703798174858093
96.0,200.0,0.8,0.001,1.0,0.39817196130752563
64.0,600.0,0.8,0.001,2.0,0.37589260935783386
