model;recall;precision;mrr;hit;coverage;n_padded;k;n_exp
model2;0.08983307284707433;0.03010033444816054;0.07279821627647715;0.13712374581939799;0.06442988905226574;12;5;5
model3;0.0898588515390284;0.0334448160535117;0.08366778149386844;0.13712374581939799;0.06442988905226574;12;5;5
model4;0.09537819095667291;0.0354515050167224;0.09615384615384615;0.15384615384615385;0.0628258254244085;12;5;5
model5;0.08953085929872961;0.028762541806020073;0.07926421404682275;0.13377926421404682;0.05614222697500334;12;5;5
model6;0.1000058710633508;0.03411371237458193;0.07926421404682273;0.15384615384615385;0.07084614356369469;12;5;5
model7;0.09047200650000946;0.031438127090301006;0.07363433667781494;0.13043478260869565;0.06536559283518246;12;5;5
model1;0.09587986319747559;0.036789297658862866;0.08779264214046821;0.1505016722408027;0.07432161475738537;12;5;6
model2;0.0825817697409444;0.028762541806020076;0.07006688963210701;0.12709030100334448;0.06496457692821815;12;5;6
model3;0.10831133371663956;0.03812709030100333;0.08188405797101449;0.16722408026755853;0.06523192086619437;12;5;6
model4;0.09607306842015759;0.037458193979933094;0.09498327759197323;0.15384615384615385;0.07044512765673039;12;5;6
model5;0.08800384295962776;0.031438127090301006;0.0809921962095875;0.14046822742474915;0.05587488303702714;12;5;6
model6;0.10022579974680196;0.03478260869565216;0.08010033444816052;0.1505016722408027;0.06750434433899212;12;5;6
model7;0.09579645360780219;0.03277591973244147;0.09414715719063543;0.15384615384615385;0.06630129661809918;12;5;6
model1;0.09410012120034228;0.03478260869565217;0.0744704570791527;0.14046822742474915;0.07592567838524261;12;5;7
model2;0.09717046238785369;0.032775919732441476;0.07630992196209589;0.1505016722408027;0.06362785723833712;12;5;7
model3;0.10128299605086635;0.0334448160535117;0.09002229654403567;0.1605351170568562;0.06336051330036091;12;5;7
model4;0.10513711294846151;0.036120401337792624;0.09292084726867333;0.16387959866220736;0.06389520117631332;12;5;7
model5;0.09850616304190367;0.032107023411371234;0.08188405797101447;0.14381270903010032;0.05213206790536025;12;5;7
model6;0.09674196474122781;0.035451505016722396;0.08656633221850611;0.1605351170568562;0.06777168827696832;12;5;7
model7;0.10788929199024998;0.03678929765886286;0.09370122630992196;0.16722408026755853;0.0628258254244085;12;5;7
model1;0.08452057031644356;0.032107023411371234;0.07775919732441472;0.13712374581939799;0.07873278973399278;12;5;8
model2;0.08843953884484468;0.030769230769230774;0.07346711259754737;0.13712374581939799;0.06576660874214676;12;5;8
model3;0.08847024383133446;0.03411371237458193;0.0725752508361204;0.13712374581939799;0.06336051330036091;12;5;8
model4;0.11262730759783081;0.037458193979933094;0.088628762541806;0.1705685618729097;0.06616762464911108;12;5;8
model5;0.09215070322292135;0.03210702341137124;0.08573021181716833;0.14715719063545152;0.052533083812324556;12;5;8
model6;0.09354176283063535;0.03411371237458193;0.07658862876254181;0.14715719063545152;0.06857372009089693;12;5;8
model7;0.0990592127106497;0.035451505016722396;0.0894648829431438;0.1605351170568562;0.07071247159470659;12;5;8
model1;0.10187509616396867;0.036789297658862866;0.08952062430323297;0.1605351170568562;0.07164817537762332;12;5;9
model2;0.08618201376123263;0.029431438127090308;0.07837235228539575;0.13712374581939799;0.0626921534554204;12;5;9
model3;0.10808533151937721;0.036789297658862866;0.08684503901895206;0.15719063545150502;0.06630129661809918;12;5;9
model4;0.082811551013467;0.030769230769230774;0.07865105908584166;0.13377926421404682;0.06376152920732522;12;5;9
model5;0.09407870644053402;0.03411371237458194;0.10050167224080268;0.15384615384615385;0.059885042106670235;12;5;9
model6;0.09286794021502938;0.03545150501672241;0.07837235228539575;0.1505016722408027;0.07004411174976607;12;5;9
model7;0.1014291652832552;0.03612040133779263;0.07853957636566332;0.15384615384615385;0.06857372009089693;12;5;9
model1;0.0997847951606242;0.036789297658862866;0.0846153846153846;0.1505016722408027;0.0713808314396471;12;5;10
model2;0.09367524516750753;0.0334448160535117;0.07720178372352283;0.1505016722408027;0.06202379361047988;12;5;10
model3;0.09247586115677493;0.030769230769230778;0.07357859531772573;0.13712374581939799;0.06616762464911108;12;5;10
model4;0.10050356177843282;0.0334448160535117;0.08634336677814937;0.15719063545150502;0.06549926480417056;12;5;10
model5;0.09888800710466149;0.03478260869565216;0.08076923076923076;0.15384615384615385;0.05400347547119369;12;5;10
model6;0.09883132097575724;0.03411371237458193;0.08428093645484948;0.1505016722408027;0.06643496858708729;12;5;10
model7;0.08654224061372182;0.031438127090301006;0.07101449275362319;0.13377926421404682;0.06376152920732522;12;5;10
