t_id;t_date;c_id;recency;payment;month;dayofweek;item_code;category_code;method_code
437211.0;2017-04-03;137;99;4;4;1;181;8;1
437212.0;2017-04-03;137;99;5;4;1;218;8;1
437220.0;2017-04-03;139;99;11;4;1;220;3;1
437225.0;2017-04-03;140;99;5;4;1;221;11;1
437226.0;2017-04-03;140;99;3;4;1;222;11;1
437235.0;2017-04-03;141;99;15;4;1;223;4;1
437240.0;2017-04-03;142;99;3;4;1;224;1;1
437241.0;2017-04-03;142;99;3;4;1;225;13;1
437242.0;2017-04-03;142;99;2;4;1;226;5;1
437243.0;2017-04-03;143;99;6;4;1;227;2;1
437245.0;2017-04-03;143;99;1;4;1;142;11;1
437246.0;2017-04-03;144;99;6;4;1;228;2;1
437248.0;2017-04-03;144;99;2;4;1;229;5;1
437258.0;2017-04-03;19;99;6;4;1;230;2;1
437262.0;2017-04-03;145;99;5;4;1;88;2;3
437264.0;2017-04-03;145;99;4;4;1;118;2;3
437266.0;2017-04-03;145;99;5;4;1;135;2;3
437269.0;2017-04-03;20;99;50;4;1;231;10;1
437279.0;2017-04-03;146;99;4;4;1;104;2;1
437280.0;2017-04-03;146;99;4;4;1;232;2;1
437285.0;2017-04-03;147;99;4;4;1;32;2;5
437286.0;2017-04-03;147;99;1;4;1;91;1;5
437297.0;2017-04-03;148;99;3;4;1;60;8;1
437295.0;2017-04-03;149;99;6;4;1;233;4;1
437320.0;2017-04-03;150;99;9;4;1;234;12;1
437333.0;2017-04-03;119;99;5;4;1;235;3;1
437334.0;2017-04-03;119;99;5;4;1;236;3;1
437345.0;2017-04-03;152;99;19;4;1;241;10;1
437370.0;2017-04-03;153;99;3;4;1;60;8;1
437376.0;2017-04-03;154;99;7;4;1;181;8;1
437377.0;2017-04-03;155;99;11;4;1;24;3;3
437390.0;2017-04-03;156;99;2;4;1;13;5;1
437391.0;2017-04-03;156;99;1;4;1;238;5;1
437409.0;2017-04-03;157;99;4;4;1;242;6;1
437422.0;2017-04-03;158;99;4;4;1;32;2;1
437427.0;2017-04-03;159;99;2;4;1;243;5;1
437428.0;2017-04-03;159;99;3;4;1;244;5;1
437429.0;2017-04-03;159;99;5;4;1;245;5;1
437430.0;2017-04-03;159;99;6;4;1;246;5;1
437431.0;2017-04-03;159;99;6;4;1;247;5;1
437458.0;2017-04-03;160;99;5;4;1;248;10;1
437460.0;2017-04-03;161;99;2;4;1;249;7;1
437461.0;2017-04-03;162;99;1;4;1;196;11;1
437463.0;2017-04-03;163;99;9;4;1;250;3;1
437466.0;2017-04-03;163;99;5;4;1;251;1;1
437472.0;2017-04-03;164;99;3;4;1;60;8;1
437478.0;2017-04-03;165;99;2;4;1;62;1;1
437486.0;2017-04-03;166;99;5;4;1;70;3;1
437491.0;2017-04-03;167;99;2;4;1;13;5;1
437492.0;2017-04-03;167;99;2;4;1;252;2;1
437494.0;2017-04-03;167;99;3;4;1;60;8;1
437499.0;2017-04-03;168;99;1;4;1;253;4;1
437495.0;2017-04-03;169;99;7;4;1;254;11;1
437496.0;2017-04-03;169;99;7;4;1;255;11;1
437513.0;2017-04-03;170;99;2;4;1;256;11;1
437514.0;2017-04-03;170;99;2;4;1;257;2;1
437519.0;2017-04-03;171;99;3;4;1;258;8;4
437522.0;2017-04-03;172;99;2;4;1;128;10;1
437526.0;2017-04-04;173;99;1;4;2;196;11;1
437527.0;2017-04-04;174;99;3;4;2;259;10;1
437528.0;2017-04-04;174;99;6;4;2;260;10;1
437537.0;2017-04-04;173;99;8;4;2;261;3;1
437539.0;2017-04-04;173;99;5;4;2;262;3;1
437561.0;2017-04-04;85;99;167;4;2;131;10;2
437565.0;2017-04-04;175;99;11;4;2;129;10;2
437575.0;2017-04-04;176;99;2;4;2;13;5;1
437576.0;2017-04-04;106;99;84;4;2;158;10;2
437580.0;2017-04-04;177;99;84;4;2;158;10;2
437582.0;2017-04-04;177;99;73;4;2;263;10;2
437584.0;2017-04-04;177;99;84;4;2;158;10;2
437635.0;2017-04-04;15;99;5;4;2;30;3;1
437636.0;2017-04-04;15;99;6;4;2;264;3;1
437637.0;2017-04-04;75;99;2;4;2;265;5;1
437646.0;2017-04-04;11;99;12;4;2;266;10;1
437647.0;2017-04-04;178;99;12;4;2;267;3;1
437651.0;2017-04-04;12;99;8;4;2;268;3;1
437650.0;2017-04-04;179;99;3;4;2;33;2;1
437652.0;2017-04-04;173;99;5;4;2;269;3;1
437653.0;2017-04-04;173;99;5;4;2;28;3;1
437654.0;2017-04-04;173;99;5;4;2;235;3;1
437655.0;2017-04-04;180;99;6;4;2;66;7;1
437661.0;2017-04-04;180;99;6;4;2;66;7;1
437662.0;2017-04-04;12;99;5;4;2;21;3;1
437663.0;2017-04-04;12;99;5;4;2;5;3;1
437664.0;2017-04-04;12;99;5;4;2;270;3;1
437665.0;2017-04-04;180;99;6;4;2;66;7;1
437666.0;2017-04-04;12;99;6;4;2;271;2;1
437668.0;2017-04-04;180;99;6;4;2;66;7;1
437669.0;2017-04-04;180;99;6;4;2;66;7;1
437670.0;2017-04-04;180;99;6;4;2;66;7;1
437676.0;2017-04-04;11;99;50;4;2;20;10;1
437673.0;2017-04-04;181;99;5;4;2;218;8;1
437674.0;2017-04-04;181;99;1;4;2;124;11;1
437675.0;2017-04-04;181;99;1;4;2;55;11;1
437678.0;2017-04-04;12;99;7;4;2;272;2;1
437680.0;2017-04-04;12;99;5;4;2;273;8;1
437681.0;2017-04-04;12;99;1;4;2;274;5;1
437686.0;2017-04-04;12;99;2;4;2;275;5;1
437690.0;2017-04-04;182;99;11;4;2;276;4;1
437700.0;2017-04-04;183;99;7;4;2;27;2;1
437702.0;2017-04-04;12;99;10;4;2;135;2;1
437696.0;2017-04-04;12;99;10;4;2;135;2;1
437705.0;2017-04-04;184;99;152;4;2;277;6;1
437706.0;2017-04-04;185;99;2;4;2;252;2;1
437710.0;2017-04-04;12;99;6;4;2;278;2;1
437712.0;2017-04-04;12;99;6;4;2;279;2;1
437714.0;2017-04-04;12;99;1;4;2;38;5;1
437718.0;2017-04-04;186;99;2;4;2;280;2;1
437720.0;2017-04-04;186;99;1;4;2;281;2;1
437728.0;2017-04-04;187;99;1;4;2;282;11;1
437737.0;2017-04-04;188;99;5;4;2;283;7;1
437731.0;2017-04-04;189;99;3;4;2;284;4;1
437732.0;2017-04-04;189;99;2;4;2;285;4;1
437733.0;2017-04-04;189;99;2;4;2;286;4;1
437734.0;2017-04-04;189;99;1;4;2;99;8;1
437738.0;2017-04-04;191;99;4;4;2;287;2;1
437740.0;2017-04-04;191;99;6;4;2;288;2;1
437741.0;2017-04-04;159;99;1;4;2;289;7;1
437742.0;2017-04-04;159;99;2;4;2;290;7;1
437743.0;2017-04-04;159;99;3;4;2;291;7;1
437744.0;2017-04-04;159;99;2;4;2;193;7;1
437745.0;2017-04-04;192;99;7;4;2;292;4;1
437756.0;2017-04-04;193;99;2;4;2;265;5;1
437757.0;2017-04-04;193;99;3;4;2;293;11;1
437761.0;2017-04-04;194;99;2;4;2;198;11;1
437762.0;2017-04-04;195;99;3;4;2;294;5;1
437763.0;2017-04-04;195;99;3;4;2;295;13;1
437802.0;2017-04-04;196;99;4;4;2;296;8;1
437805.0;2017-04-04;12;99;6;4;2;271;2;1
437809.0;2017-04-04;52;99;6;4;2;297;11;1
437822.0;2017-04-04;197;99;2;4;2;298;2;1
437823.0;2017-04-04;197;99;3;4;2;60;8;1
437825.0;2017-04-04;198;99;7;4;2;181;8;1
437824.0;2017-04-04;199;99;8;4;2;265;5;1
437826.0;2017-04-04;200;99;5;4;2;299;8;1
437832.0;2017-04-04;201;99;3;4;2;300;5;1
437833.0;2017-04-04;201;99;3;4;2;301;5;1
437834.0;2017-04-04;52;99;7;4;2;82;5;1
437842.0;2017-04-04;52;99;5;4;2;303;3;1
437843.0;2017-04-04;52;99;2;4;2;82;5;1
437845.0;2017-04-04;202;99;7;4;2;304;9;1
437846.0;2017-04-04;202;99;5;4;2;305;9;1
437851.0;2017-04-04;203;99;11;4;2;129;10;1
437864.0;2017-04-04;133;99;15;4;2;306;13;1
437869.0;2017-04-04;133;99;15;4;2;306;13;1
437870.0;2017-04-04;133;99;15;4;2;306;13;1
437876.0;2017-04-04;107;99;5;4;2;307;3;1
437892.0;2017-04-04;204;99;7;4;2;308;6;1
437897.0;2017-04-04;205;99;1;4;2;309;5;1
437898.0;2017-04-04;205;99;2;4;2;229;5;1
437899.0;2017-04-04;205;99;2;4;2;310;5;1
437900.0;2017-04-04;205;99;1;4;2;31;5;1
437901.0;2017-04-04;205;99;2;4;2;275;5;1
437902.0;2017-04-04;206;99;14;4;2;311;10;1
437903.0;2017-04-04;206;99;11;4;2;312;10;1
437905.0;2017-04-04;207;99;5;4;2;313;2;1
437906.0;2017-04-04;208;99;6;4;2;314;6;3
437913.0;2017-04-04;209;99;6;4;2;134;13;1
437914.0;2017-04-04;209;99;2;4;2;315;11;1
437915.0;2017-04-04;209;99;2;4;2;316;11;1
437921.0;2017-04-04;210;99;2;4;2;317;5;1
437923.0;2017-04-04;210;99;3;4;2;318;5;1
437924.0;2017-04-04;210;99;4;4;2;319;5;1
437931.0;2017-04-04;211;99;2;4;2;13;5;1
437934.0;2017-04-04;211;99;2;4;2;320;3;1
437936.0;2017-04-04;212;99;9;4;2;218;8;1
437938.0;2017-04-04;213;99;8;4;2;321;3;1
437939.0;2017-04-04;214;99;7;4;2;322;1;3
