model_num,rnn_style,emb_units,rnn_units,drop_rate,l_rate,replication,accuracy
2.0,lstm,64.0,400.0,0.6,0.001,2.0,0.32447871565818787
2.0,lstm,32.0,300.0,0.8,0.001,1.0,0.38703227043151855
2.0,lstm,128.0,600.0,0.8,0.001,1.0,0.36246785521507263
2.0,lstm,32.0,200.0,0.6,0.001,1.0,0.38046273589134216
2.0,lstm,96.0,200.0,0.8,0.001,1.0,0.3921736776828766
2.0,lstm,64.0,500.0,0.6,0.001,1.0,0.3150528371334076
2.0,lstm,64.0,500.0,0.6,0.001,2.0,0.3096258342266083
2.0,lstm,32.0,500.0,0.6,0.001,1.0,0.3221936523914337
2.0,lstm,64.0,200.0,0.8,0.001,2.0,0.39360183477401733
2.0,lstm,64.0,600.0,0.6,0.001,2.0,0.2864895761013031
2.0,lstm,32.0,400.0,0.6,0.001,2.0,0.33104828000068665
2.0,lstm,64.0,100.0,0.8,0.001,2.0,0.3913167715072632
2.0,lstm,32.0,300.0,0.8,0.001,2.0,0.38246214389801025
2.0,lstm,128.0,500.0,0.8,0.001,1.0,0.35846900939941406
2.0,lstm,64.0,300.0,0.8,0.001,2.0,0.38788917660713196
2.0,lstm,96.0,500.0,0.6,0.001,2.0,0.2922022342681885
2.0,lstm,32.0,400.0,0.8,0.001,1.0,0.37246501445770264
2.0,lstm,64.0,300.0,0.6,0.001,2.0,0.32990574836730957
2.0,lstm,32.0,500.0,0.8,0.001,1.0,0.35475578904151917
2.0,lstm,32.0,200.0,0.6,0.001,2.0,0.3570408523082733
2.0,lstm,128.0,200.0,0.8,0.001,2.0,0.3978863060474396
2.0,lstm,128.0,100.0,0.8,0.001,1.0,0.3818908929824829
3.0,lstm,64.0,300.0,0.6,0.001,2.0,0.3333333432674408
3.0,lstm,128.0,100.0,0.6,0.001,1.0,0.39702942967414856
3.0,lstm,96.0,500.0,0.6,0.001,2.0,0.31362468004226685
3.0,lstm,96.0,100.0,0.8,0.001,2.0,0.38303342461586
3.0,lstm,64.0,500.0,0.6,0.001,1.0,0.2982005178928375
3.0,lstm,64.0,100.0,0.8,0.001,2.0,0.3810339868068695
3.0,lstm,128.0,500.0,0.6,0.001,2.0,0.30619823932647705
3.0,lstm,128.0,600.0,0.6,0.001,1.0,0.32276493310928345
3.0,lstm,96.0,400.0,0.6,0.001,1.0,0.33276206254959106
3.0,lstm,32.0,100.0,0.6,0.001,2.0,0.38503286242485046
3.0,lstm,96.0,200.0,0.8,0.001,1.0,0.4038845896720886
3.0,lstm,32.0,600.0,0.8,0.001,1.0,0.3647529184818268
3.0,lstm,128.0,500.0,0.8,0.001,2.0,0.3744644522666931
3.0,lstm,32.0,400.0,0.6,0.001,2.0,0.31076836585998535
3.0,lstm,96.0,100.0,0.6,0.001,1.0,0.39731505513191223
3.0,lstm,96.0,600.0,0.6,0.001,1.0,0.3179091811180115
3.0,lstm,128.0,300.0,0.6,0.001,1.0,0.34133103489875793
