model_num,rnn_style,emb_units,rnn_units,drop_rate,l_rate,replication,accuracy
5.0,lstm,32.0,200.0,0.6,0.001,1.0,0.30249977111816406
5.0,lstm,32.0,600.0,0.6,0.001,2.0,0.2640884816646576
4.0,lstm,32.0,300.0,0.8,0.001,1.0,0.3187004625797272
5.0,lstm,32.0,300.0,0.6,0.001,1.0,0.27610835433006287
5.0,lstm,96.0,300.0,0.8,0.001,2.0,0.3333333432674408
5.0,lstm,64.0,500.0,0.6,0.001,2.0,0.27088233828544617
4.0,lstm,96.0,500.0,0.8,0.001,2.0,0.3153906464576721
4.0,lstm,128.0,200.0,0.6,0.001,1.0,0.30929362773895264
5.0,lstm,96.0,400.0,0.6,0.001,2.0,0.2748018503189087
5.0,lstm,32.0,100.0,0.6,0.001,2.0,0.31504225730895996
4.0,lstm,64.0,300.0,0.6,0.001,2.0,0.2887379229068756
5.0,lstm,128.0,100.0,0.8,0.001,2.0,0.3217489719390869
5.0,lstm,128.0,400.0,0.8,0.001,2.0,0.33072033524513245
4.0,lstm,128.0,200.0,0.8,0.001,1.0,0.31774234771728516
4.0,lstm,32.0,600.0,0.6,0.001,2.0,0.26652729511260986
5.0,lstm,64.0,300.0,0.6,0.001,1.0,0.2879540026187897
5.0,lstm,64.0,200.0,0.6,0.001,1.0,0.3131260275840759
5.0,lstm,32.0,400.0,0.6,0.001,2.0,0.264523983001709
4.0,lstm,64.0,100.0,0.6,0.001,1.0,0.32410067319869995
5.0,lstm,64.0,600.0,0.6,0.001,2.0,0.2646110951900482
4.0,lstm,96.0,400.0,0.6,0.001,1.0,0.2752373516559601
4.0,lstm,64.0,300.0,0.6,0.001,1.0,0.2994512617588043
5.0,lstm,96.0,500.0,0.6,0.001,2.0,0.26853060722351074
4.0,lstm,64.0,400.0,0.6,0.001,2.0,0.2725372314453125
4.0,lstm,96.0,300.0,0.8,0.001,1.0,0.32523298263549805
5.0,lstm,32.0,200.0,0.6,0.001,2.0,0.3046773076057434
5.0,lstm,64.0,200.0,0.8,0.001,1.0,0.33324623107910156
4.0,lstm,32.0,300.0,0.6,0.001,2.0,0.27898266911506653
4.0,lstm,64.0,400.0,0.6,0.001,1.0,0.2753244638442993
5.0,lstm,64.0,400.0,0.6,0.001,1.0,0.25851407647132874
5.0,lstm,32.0,500.0,0.6,0.001,1.0,0.2675725221633911
4.0,lstm,64.0,600.0,0.6,0.001,2.0,0.26583051681518555
4.0,lstm,96.0,400.0,0.8,0.001,1.0,0.31913596391677856
4.0,lstm,32.0,300.0,0.6,0.001,1.0,0.28203117847442627
4.0,lstm,128.0,400.0,0.6,0.001,1.0,0.28203117847442627
4.0,lstm,64.0,200.0,0.6,0.001,1.0,0.3055483102798462
4.0,lstm,64.0,500.0,0.8,0.001,2.0,0.32366517186164856
5.0,lstm,32.0,500.0,0.8,0.001,2.0,0.314258337020874
5.0,lstm,32.0,600.0,0.8,0.001,1.0,0.30746451020240784
5.0,lstm,96.0,100.0,0.8,0.001,2.0,0.33411723375320435
5.0,lstm,96.0,600.0,0.6,0.001,2.0,0.2618238925933838
5.0,lstm,96.0,500.0,0.6,0.001,1.0,0.2639142870903015
4.0,lstm,96.0,100.0,0.6,0.001,2.0,0.3160003423690796
5.0,lstm,128.0,200.0,0.6,0.001,1.0,0.3165229558944702
4.0,lstm,32.0,200.0,0.6,0.001,1.0,0.3062450885772705
5.0,lstm,96.0,300.0,0.6,0.001,2.0,0.28264087438583374
5.0,lstm,96.0,200.0,0.8,0.001,2.0,0.31974565982818604
5.0,lstm,64.0,400.0,0.8,0.001,2.0,0.32453620433807373
