model;n_padded;k;style;replication;mrr;hit;coverage
1;32;5;lstm;10;0.17194846524997429;0.2152756390514321;0.21802147239263803
2;32;5;lstm;1;0.1928087465352633;0.2343701878657222;0.2704754601226994
2;32;5;lstm;2;0.1834462580843857;0.22235910070834616;0.28274539877300614
2;32;5;lstm;3;0.1804434862950417;0.22235910070834616;0.27423312883435585
2;32;5;lstm;4;0.1826865824863977;0.22543886664613488;0.26809815950920246
2;32;5;lstm;5;0.18002771789344008;0.22266707730212504;0.28297546012269936
2;32;5;lstm;6;0.1848783492454574;0.23005851555281798;0.27024539877300613
2;32;5;lstm;7;0.18111076891489583;0.22112719433323066;0.27952453987730064
2;32;5;lstm;8;0.18355404989220822;0.2232830304896828;0.2776073619631902
2;32;5;lstm;9;0.1799917872908326;0.21681552202032645;0.26817484662576685
2;32;5;lstm;10;0.18147007494097123;0.22790267939636588;0.28550613496932514
3;32;5;lstm;1;0.19103274817780524;0.2334462580843856;0.2312116564417178
3;32;5;lstm;2;0.1842572631146701;0.22574684323991376;0.22691717791411042
3;32;5;lstm;3;0.19389693049994874;0.23714197720973207;0.22576687116564417
3;32;5;lstm;4;0.18595626732368353;0.22821065599014476;0.2227760736196319
3;32;5;lstm;5;0.1844163843547891;0.22359100708346166;0.21050613496932516
3;32;5;lstm;6;0.18093111590185817;0.22543886664613488;0.22906441717791412
3;32;5;lstm;7;0.1950569756698492;0.2368340006159532;0.2273006134969325
3;32;5;lstm;8;0.19336823734729516;0.23621804742839544;0.20644171779141104
3;32;5;lstm;9;0.17721486500359312;0.22020326455189407;0.22154907975460122
3;32;5;lstm;10;0.18655682168155227;0.2288266091777025;0.2263803680981595
4;32;5;lstm;1;0.18261472128118267;0.22851863258392363;0.20153374233128835
4;32;5;lstm;2;0.17334462580843868;0.21496766245765322;0.21004601226993866
4;32;5;lstm;3;0.1755055949081202;0.21804742839544194;0.21242331288343558
4;32;5;lstm;4;0.18978544297300082;0.23406221127194332;0.22461656441717792
4;32;5;lstm;5;0.18785032337542354;0.23129042192793348;0.2316717791411043
4;32;5;lstm;6;0.18462170208397502;0.22851863258392363;0.22154907975460122
4;32;5;lstm;7;0.1802894979981523;0.22697874961502926;0.21134969325153374
4;32;5;lstm;8;0.19606816548608993;0.24268555589775176;0.2233128834355828
4;32;5;lstm;9;0.18497587516682065;0.22913458577148138;0.22369631901840492
