model;n_padded;k;style;replication;mrr;hit;coverage
6;32;5;lstm;4;0.18514012935016946;0.2297505389590391;0.19846625766871165
6;32;5;lstm;5;0.18202443280977318;0.22697874961502926;0.2008435582822086
6;32;5;lstm;6;0.18851247305204807;0.23252232830304898;0.20958588957055216
6;32;5;lstm;7;0.1834462580843857;0.22482291345857716;0.1750766871165644
6;32;5;lstm;8;0.1799147931423879;0.2198952879581152;0.19800613496932515
6;32;5;lstm;9;0.1845190432193821;0.22697874961502926;0.1879601226993865
6;32;5;lstm;10;0.17530541012216405;0.2174314752078842;0.18420245398773005
7;32;5;lstm;1;0.19578072066522959;0.24360948567908838;0.21042944785276074
7;32;5;lstm;2;0.1869212606508573;0.23159839852171235;0.20613496932515338
7;32;5;lstm;3;0.19121753413407258;0.23775793039728982;0.2067484662576687
7;32;5;lstm;4;0.18758341032748183;0.23129042192793348;0.20352760736196318
7;32;5;lstm;5;0.19392772815932674;0.23991376655374191;0.21288343558282208
7;32;5;lstm;6;0.18632070629298844;0.23159839852171235;0.20122699386503068
7;32;5;lstm;7;0.19267015706806298;0.2343701878657222;0.2089723926380368
7;32;5;lstm;8;0.19090442459706405;0.2402217431475208;0.20950920245398774
7;32;5;lstm;9;0.18802997638846125;0.23067446874037573;0.20636503067484663
7;32;5;lstm;10;0.18830715532286219;0.2309824453341546;0.19969325153374234
8;32;5;lstm;1;0.19629914793142417;0.24545734524176163;0.22246932515337423
8;32;5;lstm;2;0.19509803921568641;0.2389898367724053;0.2067484662576687
8;32;5;lstm;3;0.19602196899702315;0.23929781336618416;0.2085889570552147
8;32;5;lstm;4;0.20041063545837198;0.24761318139821373;0.2228527607361963
8;32;5;lstm;5;0.18983163946206766;0.23498614105327995;0.2164877300613497
8;32;5;lstm;6;0.19394825993224535;0.244533415460425;0.22024539877300614
8;32;5;lstm;7;0.19052971974129973;0.23467816445950107;0.22661042944785276
8;32;5;lstm;8;0.1783697772302639;0.22543886664613488;0.21042944785276074
8;32;5;lstm;9;0.19112000821270933;0.23929781336618416;0.22423312883435584
8;32;5;lstm;10;0.1912072682476132;0.23652602402217432;0.22085889570552147
