t_id;t_date;c_id;recency;payment;item_code;category_code;method_code
438467.0;2017-04-05;159;98;1;246;7;1
438478.0;2017-04-05;75;98;6;236;1;1
438480.0;2017-04-05;160;98;16;35;4;1
438483.0;2017-04-05;160;98;11;35;4;1
438492.0;2017-04-05;161;98;6;243;1;1
438494.0;2017-04-05;161;98;1;226;7;1
438499.0;2017-04-05;162;98;3;109;1;1
438510.0;2017-04-05;163;98;6;236;1;1
438500.0;2017-04-05;51;98;261;247;5;2
438514.0;2017-04-05;161;98;6;236;1;1
438516.0;2017-04-05;161;98;1;226;7;1
438517.0;2017-04-05;163;98;6;248;1;1
438526.0;2017-04-05;164;98;8;234;9;1
438534.0;2017-04-05;165;98;6;243;1;1
438536.0;2017-04-05;165;98;6;248;1;1
438538.0;2017-04-05;59;98;6;243;1;1
438545.0;2017-04-05;166;98;3;31;9;1
438546.0;2017-04-05;166;98;4;52;9;1
438549.0;2017-04-05;164;98;4;249;8;1
438557.0;2017-04-05;29;98;2;250;1;1
438560.0;2017-04-05;29;98;5;98;6;1
438587.0;2017-04-05;83;98;2;251;2;1
438593.0;2017-04-05;6;98;6;242;1;1
438595.0;2017-04-05;6;98;1;19;7;1
438606.0;2017-04-05;167;98;5;67;1;1
438607.0;2017-04-05;167;98;11;243;1;1
438624.0;2017-04-05;30;98;9;252;7;1
438622.0;2017-04-05;168;98;3;179;2;3
438623.0;2017-04-05;168;98;1;53;2;3
438625.0;2017-04-05;169;98;6;78;2;1
438626.0;2017-04-05;169;98;2;206;9;1
438637.0;2017-04-05;170;98;2;68;2;3
438640.0;2017-04-05;170;98;2;253;1;3
438672.0;2017-04-06;66;98;108;254;10;2
438803.0;2017-04-06;171;98;6;255;7;2
438804.0;2017-04-06;171;98;3;59;7;2
438806.0;2017-04-06;171;98;2;256;7;2
438807.0;2017-04-06;171;98;3;257;7;2
438826.0;2017-04-06;172;98;4;154;8;1
438827.0;2017-04-06;172;98;9;258;2;1
438828.0;2017-04-06;172;98;6;259;2;1
438860.0;2017-04-06;173;98;1;121;7;1
438875.0;2017-04-06;6;98;3;36;1;1
438876.0;2017-04-06;175;98;6;236;1;1
438878.0;2017-04-06;175;98;6;242;1;1
438880.0;2017-04-06;6;98;2;204;7;1
438881.0;2017-04-06;6;98;3;59;7;1
438882.0;2017-04-06;6;98;2;260;7;1
438900.0;2017-04-06;129;98;6;236;1;1
438902.0;2017-04-06;129;98;1;246;7;1
438903.0;2017-04-06;176;98;6;235;1;1
438905.0;2017-04-06;176;98;2;5;3;1
438917.0;2017-04-06;6;98;6;261;1;1
438922.0;2017-04-06;6;98;2;47;3;1
438923.0;2017-04-06;6;98;4;5;3;1
438927.0;2017-04-06;6;98;6;261;1;1
438929.0;2017-04-06;6;98;6;177;1;1
438944.0;2017-04-06;6;98;1;262;7;1
438960.0;2017-04-06;28;98;16;35;4;1
438961.0;2017-04-06;28;98;16;35;4;1
438970.0;2017-04-06;78;98;6;120;6;1
438975.0;2017-04-06;177;98;1;263;7;1
438978.0;2017-04-06;177;98;1;246;7;1
439023.0;2017-04-06;178;98;2;34;2;1
439024.0;2017-04-06;178;98;2;53;2;1
439025.0;2017-04-06;178;98;3;17;1;1
439026.0;2017-04-06;5;98;7;264;6;1
439033.0;2017-04-06;179;98;18;265;6;1
439041.0;2017-04-06;180;98;2;266;2;1
439042.0;2017-04-06;180;98;2;253;1;1
439036.0;2017-04-06;181;98;6;235;1;1
439038.0;2017-04-06;181;98;2;267;6;1
439053.0;2017-04-06;67;98;5;165;6;1
439055.0;2017-04-06;67;98;5;37;6;1
439061.0;2017-04-06;150;98;1;263;7;1
439062.0;2017-04-06;150;98;1;226;7;1
439076.0;2017-04-06;182;98;9;25;8;1
